1,1,1,2,1,1,21,109,208,1707,1,933.5707,1
1,1,1,1,1,2,42,372,471,1613,0,967.2668,0
1,1,1,1,2,2,32,272,371,1696,1,766.8607,1
1,1,1,1,2,1,31,246,345,1719,1,717.226,1
1,1,1,2,1,1,21,135,234,1543,1,716.7031,1
1,1,1,2,2,2,12,56,155,1650,1,867.0266,1
1,1,0,0,0,2,90,471,970,1580,0,1416.9014,1
1,1,0,0,0,1,90,432,931,1784,0,1000.1952,1
1,1,1,2,1,2,22,199,298,1746,1,683.9467,1
1,1,1,2,1,2,22,192,291,1733,1,700.4301,1
1,1,1,2,1,1,21,143,242,1605,1,650.1111,1
1,1,0,0,0,2,90,460,959,1510,0,816.8667,1
1,1,1,1,1,2,42,360,459,1551,1,583.474,1
1,1,1,2,1,2,22,153,252,1771,1,1116.9053,1
1,1,1,2,2,1,11,45,144,1556,1,650.1487,1
1,1,1,1,2,2,32,258,357,1619,1,1033.4725,1
1,1,1,1,2,2,32,273,372,1648,1,1000.1389,1
1,1,1,2,1,1,21,146,245,1522,1,867.1616,1
1,1,1,1,2,2,32,296,395,1550,1,600.1046,1
1,1,1,2,1,2,22,178,277,1720,1,800.2223,1
1,1,1,1,2,1,31,244,343,1508,1,800.1245,1
1,1,1,1,2,1,31,205,304,1605,1,917.2583,1
1,1,1,2,2,2,12,100,199,1601,1,583.3257,1
1,1,1,1,2,1,31,223,322,1629,1,666.8086,1
1,1,1,1,1,2,42,365,464,1557,1,1200.1708,1
1,1,0,0,0,2,90,499,998,1577,0,1350.3749,1
1,1,1,1,2,2,32,284,383,1644,1,1400.4918,1
1,1,1,1,2,2,32,256,355,1687,1,900.1545,1
1,1,1,2,1,2,22,182,281,1589,1,833.4843,1
1,1,1,2,2,1,11,20,119,1788,1,600.4176,1
1,1,0,0,0,2,90,483,982,1691,0,1500.5953,1
1,1,1,1,2,1,31,242,341,1579,1,683.9582,1
1,1,1,1,2,2,32,297,396,1794,1,733.7489,1
1,1,0,0,0,1,90,405,904,1709,0,1183.8961,1
1,1,1,1,1,2,42,394,493,1578,1,700.1237,1
1,1,1,1,2,2,32,263,362,1774,1,583.5839,1
1,1,1,2,1,2,22,172,271,1606,1,533.3939,1
1,1,1,2,1,1,21,125,224,1746,1,650.1381,1
1,1,1,1,1,1,41,316,415,1636,1,616.7932,1
1,1,1,1,1,1,41,324,423,1741,1,1083.4752,1
1,1,1,1,2,2,32,298,397,1714,1,733.9083,1
1,1,1,1,2,2,32,262,361,1766,1,666.8175,1
1,1,1,2,2,2,12,92,191,1516,1,883.4931,1
1,1,1,1,1,1,41,338,437,1559,1,1066.8104,1
1,1,1,1,1,2,42,371,470,1694,1,817.1278,1
1,1,1,1,2,1,31,249,348,1571,1,516.8071,1
1,1,1,2,2,1,11,32,131,1509,1,633.4698,1
1,1,0,0,0,1,90,448,947,1502,0,1183.5141,1
1,1,1,1,1,2,42,381,480,1575,1,900.1569,1
1,1,1,1,2,1,31,220,319,1631,1,1233.7757,1
1,1,1,1,1,1,41,334,433,1796,1,1050.1417,1
1,1,1,1,2,2,32,252,351,1664,1,816.8158,1
1,1,1,1,2,1,31,232,331,1578,1,967.1467,1
1,1,1,1,2,2,32,289,388,1742,1,617.0915,1
1,1,1,1,1,1,41,340,439,1602,1,533.6524,1
1,1,1,2,1,2,22,173,272,1747,1,1083.4745,1
1,1,1,2,2,1,11,18,117,1775,1,933.4408,1
1,1,0,0,0,1,90,444,943,1754,0,1816.8403,1
1,1,1,1,1,2,42,377,476,1677,1,600.1339,1
1,1,1,1,2,2,32,267,366,1600,1,883.4431,1
1,1,1,2,2,1,11,19,118,1738,1,966.8131,1
1,1,1,1,1,2,42,351,450,1590,1,550.1288,1
1,1,1,1,1,1,41,304,403,1521,1,583.7987,1
1,1,1,2,2,2,12,93,192,1659,1,466.7985,1
